ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM,risco_evasao,classificacao,predicao
2020,2009.0,,1,,Avaliador-7,Avaliador-3,,,,,23.0,108.0,2.0,-2.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 3 (7º e 8º ano),Masculino,9.0,5.0,9.2,12.0,9.2,,7.7730935185,8.121,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.556,9.2,3.0,Ametista,Ametista,Ametista,Ametista,Topázio,,9.2,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,,Não atendido,M,8.121,Ametista,0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,0.9979701303394864,Alto,1
2019,2012.0,,1,,Avaliador-7,Avaliador-3,Avaliador-15,,,,9.0,56.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,10.0,5.0,8.9,12.0,9.0,,7.7730935185,8.338,7.5595,Sim,6.7,Escola Pública,7.5,7.5,9.056,9.0,3.0,Topázio,Ametista,Ametista,Topázio,Topázio,,8.8,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,,Não atendido,E,8.338,Topázio,0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,0.9979447981528642,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,30.0,105.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Masculino,9.0,5.0,9.0,12.0,9.0,,7.7730935185,8.136,7.5595,Não,6.7,Escola Pública,7.5,7.5,9.083,9.2,2.0,,Ametista,Ametista,,Topázio,,8.8,Promovido de Fase,Promovido de Fase,Não avaliado,,Não atendido,U,8.136,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9979328478447669,Alto,1
2022,2011.0,,1,,Avaliador-11,Avaliador-3,,,,,22.0,86.0,4.0,-2.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 2 (5º e 6º ano),Feminino,10.0,5.0,9.5,12.0,9.0,,7.7730935185,8.197,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.417,9.6,2.0,,Ametista,Ametista,,Topázio,,9.4,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,,Não atendido,K,8.197,,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9978519541547205,Alto,1
2022,2010.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,7.0,27.0,1.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 3 (7º e 8º ano),Masculino,10.0,10.0,6.9,12.0,9.4,,7.7730935185,8.62,7.5595,Sim,7.2,Escola Pública,7.5,7.5,8.5,7.0,4.0,,Ametista,Ametista,,Topázio,,6.7,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não atendido,E,8.62,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9941765644090513,Alto,1
2022,2009.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,5.0,23.0,3.0,0.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 3 (7º e 8º ano),Masculino,8.3,10.0,7.6,12.0,9.4,,7.7730935185,8.639,7.5595,Sim,8.0,Escola Pública,7.5,7.5,9.167,8.0,4.0,,Ametista,Ametista,,Topázio,,6.7,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Não atendido,F,8.639,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9939539138268946,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,77.0,275.0,4.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Masculino,8.9,5.0,7.5,12.0,9.0,,7.7730935185,7.592,7.5595,Não,6.7,Escola Pública,7.5,6.9,8.417,7.8,2.0,,Ametista,Ametista,,Ametista,,7.2,Promovido de Fase,Promovido de Fase,Não avaliado,,Requer avaliação,S,7.592,,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.993613035108674,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,6.0,32.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Feminino,10.0,5.0,9.6,12.0,9.3,,7.7730935185,8.513,7.5595,Sim,6.7,Escola Pública,7.5,7.5,9.417,9.5,2.0,,Ametista,Ametista,,Topázio,,9.7,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,,Sem limitações,S,8.513,,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9932170826691308,Alto,1
2019,2010.0,,1,,Avaliador-7,Avaliador-3,,,,,50.0,206.0,6.0,-2.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 3 (7º e 8º ano),Feminino,7.5,5.0,8.3,12.0,9.2,,7.7730935185,7.785,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.389,8.3,3.0,Ametista,Ametista,Ametista,Ametista,Ametista,,8.2,Mantido na Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,,Não atendido,R,7.785,Ametista,1,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.9928517781398866,Alto,1
2016,2008.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,9.0,38.0,5.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 4 (9º ano),Masculino,10.0,5.0,7.7,12.0,10.0,,7.7730935185,8.468,7.5595,Não,7.3,Rede Decisão,7.5,7.5,9.125,8.2,4.0,Ametista,Ametista,Ametista,Topázio,Topázio,,7.5,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Não atendido,F,8.468,Ametista,0,2.0,2.0,2.0,3.0,3.0,0.0,2.0,0.9926724365223776,Alto,1
