ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,data_nascimento,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,nome_anonimizado,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,ra,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2024,2015,2024,0,Cursando,Avaliador-17,Avaliador-2,nan,nan,nan,nan,,,,2015-01-21 00:00:00,0.0,nan,nan,nan,EE Jardim Campestre,1M,Fase 1 (3° e 4° ano),Masculino,9.502,10.0,8.5,9,9.109730849,,8.961646169800002,,,nan,,Pública,9.375,7.51,9.005,9.0,Aluno-1441,2.0,nan,,Topázio,nan,nan,nan,8.0,RA-1441,nan,nan,,,nan,1M,8.961646169800002,nan,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024,2010,2024,0,Cursando,Avaliador-17,Avaliador-2,nan,nan,nan,nan,,,,2010-12-28 00:00:00,-2.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,1M,Fase 3 (7° e 8° ano),Masculino,8.002,5.0,7.25,14,8.674948240500001,,7.135189648100001,,,nan,,Pública,7.5,7.51,5.745,8.5,Aluno-1442,2.0,nan,,Ametista,nan,nan,nan,6.0,RA-1442,nan,nan,,,nan,1M,7.135189648100001,nan,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2024,2011,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2011-05-20 00:00:00,-2.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 3 (7° e 8° ano),Feminino,6.918,5.0,6.75,13,7.5,,6.921633333300001,,,nan,,Pública,7.708333333,6.26,7.415,6.5,Aluno-1443,2.0,nan,,Agata,nan,nan,nan,7.0,RA-1443,nan,nan,,,nan,1N,6.921633333300001,nan,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-12-12 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Masculino,8.502,5.0,6.0,12,5.277777778,,6.610588888900001,,,nan,,Pública,7.708333333,7.51,7.415,8.0,Aluno-1444,2.0,nan,,Agata,nan,nan,nan,4.0,RA-1444,nan,nan,,,nan,1N,6.610588888900001,nan,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2023,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-10-18 00:00:00,-1.0,nan,nan,nan,Estuda em outra cidade,1N,Fase 2 (5° e 6° ano),Masculino,9.502,5.0,3.25,12,6.017786561,,6.1175906455,,7.7312,nan,,Pública,7.083333333,6.885,7.085,6.5,Aluno-956,2.0,nan,,Agata,nan,nan,Ametista,0.0,RA-956,nan,nan,,,nan,1N,6.1175906455,nan,0.0,0.0,2.0,0.0,0.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2015-09-22 00:00:00,0.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1N,Fase 1 (3° e 4° ano),Masculino,9.502,10.0,8.5,9,9.545454545,,8.853624242300002,,8.37095,nan,,Pública,8.333333333,6.26,9.175,8.0,Aluno-952,2.0,nan,,Topázio,nan,nan,Topázio,9.0,RA-952,nan,nan,,,nan,1N,8.853624242300002,nan,0.0,0.0,4.0,0.0,0.0,4.0,0.0
2023,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-10-04 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Feminino,9.002,5.0,5.0,12,8.8833992095,,7.051379841899999,,7.9742,nan,,Pública,8.125,5.63,7.495,6.0,Aluno-939,2.0,nan,,Ametista,nan,nan,Ametista,4.0,RA-939,nan,nan,,,nan,1N,7.051379841899999,nan,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2015-02-04 00:00:00,0.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1N,Fase 1 (3° e 4° ano),Feminino,9.002,10.0,8.5,9,6.85770751,,7.961241502000001,,7.54005,nan,,Pública,8.125,6.26,7.755,8.0,Aluno-953,2.0,nan,,Ametista,nan,nan,Ametista,9.0,RA-953,nan,nan,,,nan,1N,7.961241502000001,nan,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2015-04-13 00:00:00,0.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,1N,Fase 1 (3° e 4° ano),Feminino,9.502,10.0,7.75,9,8.8833992095,,8.2823798419,,6.82375,nan,,Pública,8.125,6.26,7.835,6.5,Aluno-954,2.0,nan,,Topázio,nan,nan,Agata,9.0,RA-954,nan,nan,,,nan,1N,8.2823798419,nan,0.0,0.0,4.0,0.0,0.0,2.0,0.0
2022,2013,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2013-03-19 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Feminino,8.502,5.0,3.25,11,5.2865612650000005,,6.036012253,7.02532017948718,7.6267,nan,,Pública,8.125,7.51,7.075,6.5,Aluno-792,2.0,nan,,Agata,nan,Ágata,Ametista,0.0,RA-792,nan,nan,,,nan,1N,6.036012253,nan,0.0,0.0,2.0,0.0,2.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2015-04-20 00:00:00,0.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1N,Fase 1 (3° e 4° ano),Feminino,9.002,10.0,7.75,9,9.5454545455,,8.364790909100002,,7.9162,nan,,Pública,8.125,6.26,7.835,7.5,Aluno-1000,2.0,nan,,Topázio,nan,nan,Ametista,8.0,RA-1000,nan,nan,,,nan,1N,8.364790909100002,nan,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2021,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-12-19 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Feminino,9.002,5.0,5.25,12,8.8636363635,,6.984760606,7.401904937321937,6.7215,nan,,Pública,7.708333333,6.26,6.825,6.5,Aluno-763,2.0,nan,,Agata,Ágata,Ametista,Agata,4.0,RA-763,nan,nan,,,nan,1N,6.984760606,nan,0.0,0.0,2.0,2.0,3.0,2.0,0.0
2023,2014,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2014-03-13 00:00:00,-1.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1N,Fase 2 (5° e 6° ano),Feminino,7.502,5.0,7.75,10,9.347826087,,7.7964318841,,8.1162,nan,,Pública,7.916666667,7.51,7.92,6.5,Aluno-1001,2.0,nan,,Ametista,nan,nan,Topázio,9.0,RA-1001,nan,nan,,,nan,1N,7.7964318841,nan,0.0,0.0,3.0,0.0,0.0,4.0,0.0
2024,2014,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2014-02-12 00:00:00,-1.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1N,Fase 2 (5° e 6° ano),Feminino,9.502,5.0,7.25,10,9.5,,7.842866666700001,,,nan,,Pública,7.916666667,7.51,7.5,6.5,Aluno-1445,2.0,nan,,Ametista,nan,nan,nan,8.0,RA-1445,nan,nan,,,nan,1N,7.842866666700001,nan,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2024,2014,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2014-12-27 00:00:00,0.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,1N,Fase 1 (3° e 4° ano),Masculino,8.002,10.0,0.0,10,6.6501976285,,5.9004061924,,,nan,,Pública,7.291666667,6.26,7.075,0.0,Aluno-1446,2.0,nan,,Quartzo,nan,nan,nan,0.0,RA-1446,nan,nan,,,nan,1N,5.9004061924,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-09-07 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Feminino,9.002,5.0,5.5,12,7.9841897235,,7.0345379447,7.645834666666667,8.4042,nan,,Pública,8.125,6.26,7.495,6.0,Aluno-768,2.0,nan,,Ametista,Ametista,Ametista,Topázio,5.0,RA-768,nan,nan,,,nan,1N,7.0345379447,nan,0.0,0.0,3.0,3.0,3.0,4.0,0.0
2024,2012,2024,0,Cursando,Avaliador-15,Avaliador-2,nan,nan,nan,nan,,,,2012-12-06 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1N,Fase 2 (5° e 6° ano),Feminino,9.502,5.0,5.25,12,9.7368421055,,7.5402350878,,,nan,,Pública,7.916666667,7.51,7.75,6.5,Aluno-1447,2.0,nan,,Ametista,nan,nan,nan,4.0,RA-1447,nan,nan,,,nan,1N,7.5402350878,nan,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2023,2015,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2015-09-19 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1P,Fase 1 (3° e 4° ano),Feminino,9.002,10.0,6.25,9,9.058441558,,7.946388311600001,,7.1425,nan,,Pública,7.5,7.51,7.4175,6.5,Aluno-980,4.0,nan,,Ametista,nan,nan,Ametista,6.0,RA-980,nan,nan,,,nan,1P,7.946388311600001,nan,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2015-11-19 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1P,Fase 1 (3° e 4° ano),Masculino,10.002,10.0,8.25,9,8.365800865499999,,8.119860173100001,,7.1215,nan,,Pública,6.875,7.51,6.79,6.5,Aluno-982,4.0,nan,,Topázio,nan,nan,Ametista,10.0,RA-982,nan,nan,,,nan,1P,8.119860173100001,nan,0.0,0.0,4.0,0.0,0.0,3.0,0.0
