ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,data_nascimento,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,nome_anonimizado,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,ra,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2016,2003,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,18.0,753.0,10.0,2003-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.3,5.0,4.0,19,4.1,,,5.783,,Sim,6.0,Escola Pública,,5.6,7.278,2.7,Aluno-1,4.0,Ametista,,,Ametista,Quartzo,,3.5,RA-1,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Requer avaliação,A,5.783,Ametista,3.0,0.0,0.0,3.0,1.0,0.0,3.0
2017,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,8.0,469.0,3.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,8.8,10.0,6.8,17,5.2,,,7.055,,Não,9.7,Rede Decisão,,6.3,6.778,6.3,Aluno-2,4.0,Ametista,,,Ametista,Ametista,,4.5,RA-2,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,7.055,Ametista,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2016,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,13.0,629.0,6.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,0.0,10.0,5.6,17,7.9,,,6.591,,Não,6.9,Rede Decisão,,5.6,7.556,5.8,Aluno-3,4.0,Ametista,,,Ametista,Ágata,,4.0,RA-3,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,6.591,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2017,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,15.0,731.0,7.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Masculino,8.8,10.0,5.0,17,4.5,,,5.951,,Não,8.7,Rede Decisão,,5.6,5.278,2.8,Aluno-4,4.0,Ametista,,,Ametista,Quartzo,,3.5,RA-4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,5.951,Ametista,3.0,0.0,0.0,3.0,1.0,0.0,3.0
2016,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,6.0,344.0,2.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,7.9,10.0,5.2,17,8.6,,,7.427,,Não,5.7,Rede Decisão,,5.6,7.389,7.0,Aluno-5,4.0,Ametista,,,Ametista,Ametista,,2.9,RA-5,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,A,7.427,Ametista,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2021,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,16.0,745.0,8.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.9,5.0,3.3,18,4.5,,,5.848,,Sim,2.3,Escola Pública,,7.5,7.222,2.3,Aluno-6,4.0,nan,,,Ágata,Quartzo,,5.3,RA-6,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,5.848,nan,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2017,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,11.0,550.0,5.0,2004-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,0.0,5.0,7.6,18,8.4,,,6.818,,Não,9.0,Rede Decisão,,7.5,7.667,8.2,Aluno-7,4.0,Ametista,,,Ametista,Ágata,,5.7,RA-7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,6.818,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2018,2002,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,21.0,836.0,13.0,2002-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.1,5.0,1.6,20,4.6,,,4.786,,Não,2.9,Escola Pública,,6.3,6.278,1.2,Aluno-8,4.0,Quartzo,,,Ágata,Quartzo,,0.7,RA-8,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,4.786,Quartzo,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2019,2004,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,1.0,113.0,1.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.8,5.0,6.7,18,9.5,,,8.109,,Sim,8.7,Escola Pública,,7.5,9.5,5.5,Aluno-9,4.0,Ametista,,,Ametista,Topázio,,6.0,RA-9,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Sem limitações,A,8.109,Ametista,3.0,0.0,0.0,3.0,4.0,0.0,3.0
2021,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,17.0,752.0,9.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,8.3,5.0,4.1,18,5.2,,,5.784,,Não,6.4,Escola Pública,,5.0,7.056,3.3,Aluno-10,4.0,nan,,,Ágata,Quartzo,,2.6,RA-10,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,5.784,nan,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2016,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,19.0,799.0,11.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,9.2,5.0,3.0,18,4.2,,,5.323,,Não,4.5,Escola Pública,,5.0,6.389,1.8,Aluno-11,4.0,Quartzo,,,Ágata,Quartzo,,2.5,RA-11,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Requer avaliação,A,5.323,Quartzo,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2020,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,20.0,834.0,12.0,2005-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 7 (3º EM),Feminino,0.0,10.0,1.5,17,4.0,,,4.832,,Sim,0.7,Escola Pública,,6.9,6.389,2.7,Aluno-12,4.0,Ágata,,,Ágata,Quartzo,,1.1,RA-12,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Sem limitações,A,4.832,Ágata,2.0,0.0,0.0,2.0,1.0,0.0,2.0
2016,2004,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,10.0,524.0,4.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,7.9,5.0,4.7,18,7.4,,,6.902,,Sim,5.2,Escola Pública,,7.5,8.056,3.5,Aluno-13,4.0,Ametista,,,Ametista,Ágata,,5.5,RA-13,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,A,6.902,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2022,2001,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,12.0,558.0,7.0,2001-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,7.9,5.0,4.0,21,8.3,,,6.793,,Sim,,Escola Pública,,7.5,7.75,8.0,Aluno-14,4.0,nan,,,nan,Ágata,,0.0,RA-14,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não atendido,D,6.793,nan,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2022,2004,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,3.0,207.0,2.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,8.8,5.0,7.3,18,10.0,,,7.783,,Sim,,Escola Pública,,7.5,7.292,8.0,Aluno-15,4.0,nan,,,nan,Ametista,,6.5,RA-15,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,7.783,nan,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2022,2003,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,14.0,706.0,8.0,2003-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,7.9,5.0,3.5,19,8.3,,,6.112,,Sim,,Escola Pública,,5.0,6.333,7.0,Aluno-16,4.0,nan,,,nan,Ágata,,0.0,RA-16,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Requer avaliação,D,6.112,nan,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2022,2002,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,2.0,125.0,1.0,2002-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,8.8,5.0,7.8,20,10.0,,,8.068,,Sim,,Escola Pública,,7.5,8.292,9.0,Aluno-17,4.0,nan,,,nan,Topázio,,6.5,RA-17,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,8.068,nan,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2022,2003,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,7.0,418.0,5.0,2003-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,6.3,5.0,9.0,19,8.7,,,7.226,,Sim,,Escola Pública,,6.3,6.875,9.0,Aluno-18,4.0,nan,,,nan,Ametista,,9.0,RA-18,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Requer avaliação,D,7.226,nan,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2022,2003,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,4.0,248.0,3.0,2003-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.9,5.0,8.0,19,9.5,,,7.665,,Sim,,Escola Pública,,7.5,7.0,7.0,Aluno-19,4.0,nan,,,nan,Ametista,,9.0,RA-19,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,D,7.665,nan,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2022,2003,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,5.0,296.0,4.0,2003-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Feminino,7.1,5.0,7.8,19,10.0,,,7.535,,Sim,,Escola Pública,,6.3,7.167,9.0,Aluno-20,4.0,nan,,,nan,Ametista,,6.5,RA-20,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,D,7.535,nan,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2022,2004,2022,0,,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,,,9.0,508.0,6.0,2004-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,Fase 8 (Universitários),Masculino,9.6,5.0,3.8,18,9.2,,,6.945,,Sim,,Escola Pública,,7.5,7.25,7.0,Aluno-21,4.0,nan,,,nan,Ágata,,0.5,RA-21,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não atendido,D,6.945,nan,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2019,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,10.0,327.0,10.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,8.3,5.0,6.7,17,7.4,,,7.474,,Não,7.8,Rede Decisão,,8.1,8.833,9.0,Aluno-22,4.0,Ametista,,,Ágata,Ametista,,3.1,RA-22,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,Sem limitações,A,7.474,Ametista,3.0,0.0,0.0,2.0,3.0,0.0,3.0
2021,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,8.0,243.0,8.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Masculino,8.3,5.0,6.7,17,8.2,,,7.677,,Sim,8.2,Escola Pública,,8.1,8.556,7.2,Aluno-23,4.0,nan,,,Ametista,Ametista,,4.7,RA-23,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,7.677,nan,0.0,0.0,0.0,3.0,3.0,0.0,0.0
2021,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,5.0,119.0,5.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,9.2,5.0,8.6,17,7.9,,,8.087,,Não,9.7,Rede Decisão,,6.9,9.111,10.0,Aluno-24,4.0,nan,,,Topázio,Topázio,,6.3,RA-24,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,A,8.087,nan,0.0,0.0,0.0,4.0,4.0,0.0,0.0
2021,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,6.0,147.0,6.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,8.3,5.0,6.9,17,8.3,,,7.979,,Sim,7.7,Escola Pública,,8.8,9.667,9.2,Aluno-25,4.0,nan,,,Topázio,Ametista,,3.8,RA-25,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,7.979,nan,0.0,0.0,0.0,4.0,3.0,0.0,0.0
2022,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,3.0,17.0,3.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Masculino,9.6,5.0,8.0,17,8.8,,,8.677,,Sim,10.0,Escola Pública,,10.0,10.0,9.5,Aluno-26,4.0,nan,,,nan,Topázio,,4.4,RA-26,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,8.677,nan,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2016,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,12.0,449.0,12.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Masculino,0.0,5.0,8.0,17,7.6,,,7.124,,Não,10.0,Rede Decisão,,8.1,9.111,7.7,Aluno-27,4.0,Topázio,,,Ametista,Ametista,,6.3,RA-27,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,7.124,Topázio,4.0,0.0,0.0,3.0,3.0,0.0,4.0
2019,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,14.0,698.0,14.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,7.9,5.0,5.0,17,6.1,,,6.242,,Não,5.3,Escola Pública,,7.5,6.333,8.2,Aluno-28,4.0,Ametista,,,Ametista,Ágata,,1.5,RA-28,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Requer avaliação,A,6.242,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2022,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,16.0,821.0,16.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Masculino,0.0,5.0,3.7,17,4.0,,,4.985,,Sim,3.8,Escola Pública,,8.8,7.611,6.3,Aluno-29,4.0,nan,,,nan,Quartzo,,1.1,RA-29,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Alocado em Fase anterior,Requer avaliação,A,4.985,nan,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,2006,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,9.0,270.0,9.0,2006-01-01 00:00:00,0.0,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,6,Fase 6 (2º EM),Feminino,8.8,10.0,7.5,16,6.4,,,7.605,,Não,9.7,Escola Pública,,7.5,7.333,8.5,Aluno-30,4.0,nan,,,Ametista,Ametista,,4.4,RA-30,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sem limitações,A,7.605,nan,0.0,0.0,0.0,3.0,3.0,0.0,0.0
2019,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,2.0,9.0,2.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,10.0,5.0,8.0,17,9.5,,,8.843,,Não,9.3,Rede Decisão,,9.4,10.0,9.0,Aluno-31,4.0,Topázio,,,Topázio,Topázio,,5.7,RA-31,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,8.843,Topázio,4.0,0.0,0.0,4.0,4.0,0.0,4.0
2018,2006,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,11.0,370.0,11.0,2006-01-01 00:00:00,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 6 (2º EM),Feminino,8.8,10.0,6.1,16,5.2,,,7.37,,Não,8.9,Rede Decisão,,8.8,7.944,5.7,Aluno-32,4.0,Ametista,,,Ametista,Ametista,,3.6,RA-32,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Sem limitações,A,7.37,Ametista,3.0,0.0,0.0,3.0,3.0,0.0,3.0
2020,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,17.0,824.0,17.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,0.0,5.0,4.8,17,4.6,,,4.952,,Não,3.7,Escola Pública,,7.5,6.0,9.0,Aluno-33,4.0,Ágata,,,Ametista,Quartzo,,1.6,RA-33,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Sem limitações,A,4.952,Ágata,2.0,0.0,0.0,3.0,1.0,0.0,2.0
2016,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,13.0,692.0,13.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Masculino,9.6,5.0,3.8,17,4.8,,,6.259,,Não,2.8,Rede Decisão,,8.1,7.278,4.7,Aluno-34,4.0,Ametista,,,Ametista,Ágata,,4.0,RA-34,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,A,6.259,Ametista,3.0,0.0,0.0,3.0,2.0,0.0,3.0
2019,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,1.0,5.0,1.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,10.0,5.0,8.5,17,9.6,,,8.965,,Não,9.3,Rede Decisão,,9.4,10.0,9.0,Aluno-35,4.0,Ametista,,,Topázio,Topázio,,7.1,RA-35,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,8.965,Ametista,3.0,0.0,0.0,4.0,4.0,0.0,3.0
2019,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,7.0,177.0,7.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,9.2,5.0,6.8,17,9.0,,,7.876,,Não,7.8,Rede Decisão,,6.9,8.944,8.5,Aluno-36,4.0,Topázio,,,Ametista,Ametista,,4.3,RA-36,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,7.876,Topázio,4.0,0.0,0.0,3.0,3.0,0.0,4.0
2019,2005,2022,0,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,18.0,825.0,18.0,2005-01-01 00:00:00,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,0.0,5.0,5.9,17,5.4,,,4.95,,Não,10.0,Rede Decisão,,5.0,5.222,2.3,Aluno-37,4.0,Ametista,,,Ágata,Quartzo,,5.3,RA-37,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Sem limitações,A,4.95,Ametista,3.0,0.0,0.0,2.0,1.0,0.0,3.0
2017,2005,2022,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,4.0,31.0,4.0,2005-01-01 00:00:00,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6,Fase 7 (3º EM),Feminino,9.2,5.0,8.6,17,8.9,,,8.523,,Não,9.7,Rede Decisão,,7.5,9.833,9.0,Aluno-38,4.0,Ametista,,,Ametista,Topázio,,7.0,RA-38,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não indicado,A,8.523,Ametista,3.0,0.0,0.0,3.0,4.0,0.0,3.0
